,grid_res,time,RMSE,type,cache
0,100,1976.2081174850464,0.6410553337308215,wave_eqn,True
1,100,1715.2382130622864,0.14492890181688717,wave_eqn,True
2,100,1736.2439329624176,0.16890227974552594,wave_eqn,True
3,100,2020.4249341487885,0.393176361880064,wave_eqn,True
4,100,1801.384842634201,0.06738686166614385,wave_eqn,True
5,100,1798.4329187870026,0.1891643835226389,wave_eqn,True
6,100,1835.9940197467804,0.05898336410565632,wave_eqn,True
7,100,3618.563393354416,6.91030817041832,wave_eqn,True
8,100,1756.2942497730255,0.11654499569802516,wave_eqn,True
9,100,2005.4991219043732,0.18532776651072036,wave_eqn,True
10,100,1985.6833715438843,0.1350347810513529,wave_eqn,True
11,100,2518.3026823997498,0.21310400717014075,wave_eqn,True
12,100,1910.8577809333801,0.08376127925465143,wave_eqn,True
13,100,2080.0430932044983,0.2514318457917245,wave_eqn,True
14,100,1963.8447875976562,0.07657056479208513,wave_eqn,True
15,100,1358.548498392105,0.33211535178518553,wave_eqn,True
16,100,2001.7343535423279,0.3513519084377267,wave_eqn,True
17,100,2343.781180381775,0.2784758828690371,wave_eqn,True
18,100,1700.6989214420319,0.13835695853978972,wave_eqn,True
19,100,1909.0229699611664,0.2289394048788731,wave_eqn,True
20,100,1997.4852995872498,0.20176499328878064,wave_eqn,True
21,100,1813.8197247982025,0.23151752506275056,wave_eqn,True
22,100,1592.7565212249756,0.09444550776288813,wave_eqn,True
23,100,1948.0949504375458,0.43788720847339707,wave_eqn,True
24,100,1707.5254418849945,0.5221322278745053,wave_eqn,True
25,100,2136.255726337433,0.6522547724898287,wave_eqn,True
26,100,1754.349883556366,0.4122460691511807,wave_eqn,True
27,100,1768.6663002967834,0.057151553428527235,wave_eqn,True
28,100,1515.3227303028107,0.07765301229573354,wave_eqn,True
29,100,1453.8765337467194,0.456286097533593,wave_eqn,True
30,100,1676.8376903533936,0.49561231111973086,wave_eqn,True
31,100,1341.3498306274414,0.3299665466761413,wave_eqn,True
32,100,1661.505663394928,0.13663559526091595,wave_eqn,True
33,100,1781.030645608902,0.11933594326791509,wave_eqn,True
34,100,2186.590696811676,0.36448120635116943,wave_eqn,True
